V1;V2;V3
4,651549635;6,431710511;0,247141123
-1,345749157;-4,641196663;-0,031690043
3,763765148;-6,179151861;0,352631751
0,621894724;-6,492586192;0,074054268
0,481141093;6,321817385;0,134975519
-1,17419051;4,556413386;0,297148791
2,855542605;6,156331776;0,280044163
1,840927331;6,287408052;0,027339826
-2,249268736;4,35021284;0,350550888
-0,377103859;-5,881976211;0,262232856
0,8544708;-6,497152466;0,289209611
-2,464233609;-4,072122239;-0,056760316
-3,062674566;-2,77651587;0,014826604
4,127614303;-6,764824833;0,096697682
9,515734697;2,398333815;-0,205445848
8,675748496;2,642045775;0,05325947
0,181366494;-6,096313065;-0,366721568
6,673852336;-5,101689086;-0,06073032
7,675138488;-4,041261938;-0,195588036
-3,496470437;2,18861938;0,078827576
2,86757757;-6,163948439;0,088383388
8,335873429;3,881075704;-0,37059349
8,61298007;-3,57131348;-0,443879282
5,669643045;-6,065570451;-0,003532493
3,155688322;6,392248422;-0,440086033
1,521627461;-6,834402173;0,014126129
8,61714724;3,062746166;-0,398795418
9,125349009;3,122533313;-0,22280518
8,304038472;-3,693674686;0,290229521
8,711680286;-3,667129995;-0,366422604
8,717673547;2,298710993;0,084258588
7,028879728;-5,600048658;0,297908937
3,034042483;-6,389607615;0,317129763
3,323408584;6,039789431;0,120561263
5,181288347;-5,841287482;-0,400244705
2,538202377;6,30948348;-0,438843621
7,355829156;-4,262674958;0,188235249
2,389733996;6,232856503;0,120605794
8,919104617;2,882573796;0,145918541
7,148438343;5,091275023;0,053777015
1,582965618;-6,486016731;-0,007763589
8,519102689;3,518140535;0,370657211
-3,369359272;2,159081311;-0,2133945
9,07069366;1,495533166;-0,330505166
4,992593681;6,122691864;0,280769756
8,964815065;-1,47607883;0,244259587
8,940644362;2,241776153;0,137218828
1,364219091;6,294922922;0,119584166
-2,396529401;3,493862166;-0,278929812
4,877405991;-5,945849139;0,141407726
9,45302261;-1,633096491;0,066904956
9,616680047;1,520626643;0,202264152
0,056663933;6,171282874;-0,315371864
0,207455652;6,354607558;0,176874395
4,118063436;6,011017463;-0,159204938
-1,513384311;-4,66551139;0,362495333
9,371670722;-2,592604044;0,245029405
1,442767065;-6,368667348;-0,217126971
4,650688441;6,018302348;0,221498697
8,123612762;4,328226773;-0,431037992
8,477426926;-3,907151539;-0,314572845
0,808603242;-5,81807625;0,125681204
8,949484001;-3,430329938;0,209365296
-3,4641913;-0,853024721;-0,410430823
-1,486249212;-4,087463077;-0,151403374
-2,060980308;-4,789266782;0,051593306
-3,205754086;1,948041841;-0,183866187
1,333655929;-6,101858476;-0,303437812
6,186309336;-5,429604561;0,430737101
5,836085817;5,814701477;0,280993055
-3,854589406;-1,009981474;-0,220336379
-1,835284638;-3,915025699;0,12055329
-3,297956171;-2,075065342;0,112025924
8,555658702;-3,623893629;-0,008701258
-0,569292507;-5,464374134;-0,069955904
3,938817121;-6,471282956;0,481304564
7,188404049;4,70839031;0,381182204
7,456645323;-4,265850424;0,06564674
-3,069965029;-1,130774021;0,320710577
8,818000336;3,822372784;-0,080887214
4,790323814;6,218404979;0,244933763
-2,256766493;-3,863936169;-0,431066137
9,316898161;-0,376163293;0,365486997
9,607488676;1,251570568;-0,163780358
1,282697166;6,625307007;0,329175079
-1,302071107;-5,315221883;-0,061733662
-1,729241838;4,3663385;-0,211526589
-1,641412023;-5,041086231;0,21387592
9,35621907;-1,968022608;0,014621615
0,512742731;6,116804718;-0,218231273
8,097517691;4,694299633;-0,041218665
6,446159072;-5,209007668;-0,353260576
8,384258249;2,948595164;0,17592384
6,689660549;5,189102474;0,469003092
7,940817424;-4,875050769;0,167669277
9,612864833;-1,330726421;-0,057322392
8,493373906;-3,21910413;-0,039756247
8,142692363;4,055565107;-0,421304111
0,290171714;5,799627677;-0,466729747
5,961006018;5,767854564;0,336594558
1,978330524;6,167226895;0,256518922
4,167212723;6,83136452;-0,002834392
-1,790515389;-4,606265388;0,269392496
4,152463167;6,855178829;0,186223402
5,478275344;5,556409913;-0,009484151
4,907602211;-6,248063422;-0,164105133
0,373816481;-5,485545187;0,131115145
-2,637766823;3,332104641;-0,055197058
-2,582664606;-3,169904128;-0,39706361
-1,180925951;-5,321596465;-0,23000001
3,313916675;6,184995752;0,086983833
-3,208803353;0,802169894;0,011588503
6,662998027;-5,291302544;0,073325518
1,973355561;-6,590664606;0,119960341
3,766836151;6,171324011;0,132458294
5,979862511;6,043431768;-0,051057423
-2,152513987;-4,329355634;0,431905622
6,816903581;-4,986951984;0,135645238
2,408810835;6,762479041;0,149046839
-0,800248827;5,343057308;-0,256871926
-3,228575313;2,707262365;-0,170931495
8,577345344;-2,229168373;0,077793696
-2,117120628;-3,949250965;-0,362969227
8,749107728;-2,622525352;-0,009855162
5,42894972;-6,288571646;0,030527278
9,00021608;1,798053468;-0,42637629
2,738922937;6,340483017;0,430011908
6,594989477;5,808526762;0,284625445
-3,034950374;0,757356659;0,031045284
3,355238689;6,405010396;0,279578078
2,451280886;6,391713652;0,219832854
0,047605159;6,215916104;0,155243566
3,624842172;6,506037712;0,25801192
-2,209774256;-3,151175035;-0,233361274
9,411861054;1,259110146;0,35882724
8,201211873;-3,500677175;-0,2520036
8,317965185;3,231191225;-0,222687689
8,024788038;4,600884421;0,046408926
4,091538256;-6,172117777;-0,261985878
0,421705404;5,855543669;0,166432504
-2,683535414;-3,765329537;0,35242606
5,116759175;-6,370625347;0,123406863
5,169572085;6,023936323;-0,330840135
7,017782885;5,24018303;-0,04400915
-3,845286882;-0,329647581;0,291400733
8,532613036;3,146205959;0,402304395
2,23309441;-6,596546154;0,412212126
4,950830261;-5,949828569;0,179463341
9,898312879;0,369757921;0,063414406
0,58667921;5,91369255;0,161026763
8,848383697;3,213555655;-0,277445014
3,943634811;6,768798493;0,314941462
3,909478174;6,458741878;-0,215839096
0,317969513;-5,908793602;0,222865264
-2,037372398;4,434009916;-0,170621169
3,098220383;6,960756206;0,188993975
1,944450461;6,65448077;0,4022526
7,967146812;-4,311043317;-0,435264604
9,386008303;1,758252569;0,063610277
8,91576489;1,906007892;0,108965463
-0,797452577;5,238443511;0,367207401
-3,446950512;-1,051909025;0,184995988
8,365101255;4,141117386;0,081957332
2,424292797;6,174415681;0,004315507
0,267305342;6,248226636;0,262787249
6,139506064;5,470758746;-0,038882839
2,601531581;6,402447615;0,13903318
5,284929071;-5,638783351;-0,099277906
5,837121624;6,151064388;-0,365622472
8,054573252;-3,480723659;0,318649248
-1,430220609;5,229343357;0,316632874
-3,200610899;-2,160363127;0,343863354
7,81708952;3,899316075;-0,249191779
3,19283037;-6,71281171;0,363022182
-1,621101308;-4,874090538;0,251832991
-3,356891125;0,41951743;-0,20900717
-3,76080832;-1,527168909;-0,210486683
7,474483936;-4,415454487;0,068266531
9,507282637;1,033211108;-0,060784118
8,185943952;-3,456740361;0,302418098
8,629095638;-2,693410544;0,42091778
-0,136930444;5,740512502;0,419924906
9,323631311;-1,885799174;0,457470641
9,548846432;-0,865730913;0,35108523
-2,729443326;2,940913695;-0,379855693
-0,513070473;5,645508301;-0,175743671
4,714607694;6,210759021;-0,081901555
6,16621363;5,510305632;-0,377425994
-0,906552151;-5,134042292;-0,414628447
5,22172194;-5,716594965;-0,09290651
-2,729546404;2,551508783;-0,328312661
8,976061251;2,222623215;0,250735204
1,820356422;6,661437354;-0,354801314
7,486905097;-4,940896593;0,053171525
-3,446629648;-1,817572657;-0,319675403
4,135169135;6,017607534;-0,260025235
7,410255233;4,732200862;0,37163435
8,457631595;-3,816891713;-0,148650464
0,667064073;6,063884925;-0,219127927
-1,985587454;3,820042303;-0,3683782
-3,615298597;-0,918582068;-0,44159472
9,71089582;-1,490828539;-0,116508966
-3,352849293;0,760407075;0,377621315
9,460130967;-0,268935608;0,356372078
-1,976403482;4,216653039;-0,097199264
-3,279023166;2,420816487;-0,265148552
-2,098541069;-4,003552445;0,063904128
7,571749347;-4,502187562;0,319137396
-0,88043442;5,201792126;0,091204317
8,84974434;-2,959929891;0,274198339
0,548216351;-6,070672204;0,205789213
5,065145702;-6,63345404;-0,188760413
0,458050482;5,8359777;0,182469483
-1,035256209;-4,909861339;0,426590634
9,830402774;0,741823884;0,26574614
4,021965801;6,519811037;0,279155611
7,388407039;-4,671976538;0,262818527
5,242272434;-5,907025887;0,100439908
8,588459813;3,340396918;-0,146537018
8,713435512;-2,845845898;0,106003112
-1,131818248;-4,954343908;-0,366588384
-2,490243656;3,76322424;0,258782264
-0,435147667;-5,625358657;-0,065108477
9,829466268;0,293051936;0,082612005
5,882769627;5,827761944;-0,188423651
9,679609518;-0,088378983;0,3206171
8,914299952;2,357000294;0,263939491
2,834305139;-6,567089004;0,283306576
9,186653737;0,555327572;0,034898357
7,033247929;5,594705245;-0,009651245
-1,997884484;-3,854206731;-0,281108776
-1,087105558;-4,592446624;0,174256996
-2,981302198;0,867544734;-0,08409596
9,752911981;0,492455759;-0,347207407
-1,391103743;4,13287838;0,088314628
4,211764913;-6,433104416;-0,056519322
0,028112135;-5,616261116;0,229818984
4,338515527;6,21341072;-0,391312856
-2,102074898;-3,920750497;0,439129691
5,280181533;6,19984895;-0,17298284
-3,715490405;0,435569868;-0,20492468
-3,214395647;-1,26266255;-0,435395278
9,542393386;-0,990246958;-0,459471326
5,34238446;6,346656727;-0,083982623
8,872116646;-2,517183246;-0,165144815
7,986890413;3,607180147;-0,142384227
5,501774601;5,884293783;-0,229328419
