V1;V2;V3
-1,921653226;3,97950761;-0,116873509
3,095951909;-6,140561001;0,310548428
-3,392669181;1,1139622;-0,10867219
0,512699541;6,028393898;-0,050219125
3,431101725;6,393830818;0,230642795
5,148447985;5,913006137;-0,393401715
1,337793707;6,292605023;0,11066745
0,577763109;5,505293654;-0,024705878
8,88211038;-2,655012389;-0,39794141
-2,962171845;1,947972472;0,383739262
9,2690427;-1,910221316;-0,333908503
-1,173958741;-4,500915487;0,308311763
5,007977532;-6,116636987;0,450118869
9,019558672;1,173869418;0,040142322
8,87898088;2,495956002;-0,354261985
-0,237052622;-5,780374273;0,086092898
7,517545782;-4,496461246;0,424586455
8,738549608;-3,388249408;0,1390824
-1,120812227;5,392900291;-0,243815552
-1,468956941;-5,053342925;-0,384950973
-0,542541617;-5,220093369;-0,431283205
7,640811992;4,817673499;0,068141124
7,518527159;5,092740869;0,131410491
8,896085392;2,968490836;-0,214313851
6,77490707;5,042754789;0,416760584
9,01872905;-3,120232821;0,054633757
9,553328143;-0,712434351;0,344331418
-2,956038062;-3,194031497;0,028834268
7,894328753;-4,105584398;0,100283325
6,601404217;5,982182696;-0,119637498
9,585238984;-0,277322582;0,028303359
-2,086040298;-4,311864246;0,263944832
-3,354317839;-0,72778577;0,224574958
0,616356554;6,021081805;-0,072482042
-0,12230535;5,328488378;0,371851544
1,962431483;6,736547449;-0,107760439
8,9637401;0,808870913;0,077545126
8,910863064;2,334750765;-0,384231815
0,974241802;6,113221138;0,392864789
0,473402934;-6,083515403;-0,376224057
6,781561421;-4,750183597;0,10959859
5,607781559;6,066888911;0,155789922
7,817847887;4,714445802;0,275891321
8,887514737;-3,202434774;-0,436033178
-1,55537291;4,601178085;-0,106571275
2,512637558;6,807896756;0,29246368
5,275863656;6,250181114;-0,180028393
-2,516393173;2,53158648;0,206454378
0,846053995;5,924599599;0,0545175
9,176883623;-1,772742667;-0,094988109
9,213089999;0,63659336;0,381461498
8,644080888;-3,839791506;-0,296185487
-0,128817051;-6,114853914;0,255629322
-2,924614395;2,301402809;0,088986484
8,377572042;3,521803911;-0,216591479
9,600910647;0,199929643;-0,328289964
-2,487830259;3,104781858;-0,281820651
-0,342472768;5,282003745;0,213437374
8,659691825;-2,748995111;-0,379858227
6,702499879;5,058371937;-0,067493655
6,721783318;5,277236495;0,222364422
6,793837082;-5,356193171;-0,13329762
0,216192249;6,32935212;0,159279685
2,604704821;-6,871326151;0,005228878
8,031405476;-4,729604148;0,120686521
-1,74156649;-3,867627569;-0,27749721
9,643403641;-0,186341233;-0,458896742
8,914003423;1,131954319;-0,048882868
0,747627132;5,827423078;-0,376472697
9,466921017;2,451410326;-0,260232822
8,826959073;2,294666544;0,149813429
8,760290667;3,151556388;0,030003209
-1,921772729;-4,951561764;-0,046621445
1,396100065;-6,222930788;-0,460418141
9,249984585;-0,000522048;-0,298571116
9,581115367;-1,432904913;0,202033767
